match_id,start_time_s,start_time_utc,patch,patch_source,winner,winner_team_index,team_1_average_badge,team_2_average_badge,team_1_hero_1,team_1_hero_2,team_1_hero_3,team_1_hero_4,team_1_hero_5,team_1_hero_6,team_2_hero_1,team_2_hero_2,team_2_hero_3,team_2_hero_4,team_2_hero_5,team_2_hero_6
77953979,1777022808,2026-04-24 09:26:48 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,25,25,1,27,64,79,76,81,3,2,12,66,8,80
77953978,1777022807,2026-04-24 09:26:47 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,23,23,64,63,77,8,79,72,13,69,76,52,6,11
77953969,1777022801,2026-04-24 09:26:41 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,22,23,13,14,25,77,1,79,2,63,15,10,12,80
77953967,1777022798,2026-04-24 09:26:38 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,15,15,69,77,58,1,79,19,50,10,67,65,31,72
77953964,1777022796,2026-04-24 09:26:36 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,102,102,31,67,66,15,16,63,80,35,64,79,4,65
77953958,1777022792,2026-04-24 09:26:32 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,53,54,50,72,7,11,67,3,63,1,31,6,17,79
77953955,1777022789,2026-04-24 09:26:29 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,56,56,7,79,2,11,25,31,58,1,50,18,10,69
77953947,1777022784,2026-04-24 09:26:24 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,12,12,66,15,81,69,20,7,50,10,67,2,25,27
77953946,1777022783,2026-04-24 09:26:23 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,32,34,65,64,66,3,2,10,81,15,20,31,77,80
77953942,1777022781,2026-04-24 09:26:21 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,101,101,76,80,18,13,1,79,11,6,7,2,12,31
77953941,1777022780,2026-04-24 09:26:20 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,12,12,1,2,66,60,81,76,11,63,69,4,19,3
77953939,1777022777,2026-04-24 09:26:17 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,44,44,66,69,1,8,58,79,63,15,81,4,6,11
77953934,1777022775,2026-04-24 09:26:15 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,62,64,60,1,65,17,12,15,3,63,11,50,14,27
77953932,1777022772,2026-04-24 09:26:12 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,76,76,3,81,19,16,72,14,15,4,58,12,20,1
77953926,1777022767,2026-04-24 09:26:07 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,75,76,31,69,35,72,10,1,79,15,64,19,52,11
77953919,1777022765,2026-04-24 09:26:05 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,61,61,1,13,7,18,16,69,67,17,19,65,64,11
77953918,1777022764,2026-04-24 09:26:04 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,83,83,60,67,66,80,65,25,20,19,3,11,17,31
77953909,1777022756,2026-04-24 09:25:56 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,93,93,7,19,79,76,77,15,64,1,58,69,31,65
77953906,1777022754,2026-04-24 09:25:54 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,71,72,20,1,11,27,8,80,64,25,79,13,63,14
77953904,1777022753,2026-04-24 09:25:53 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,94,94,2,63,31,4,52,64,11,77,1,16,69,13
77953903,1777022753,2026-04-24 09:25:53 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,31,31,64,66,58,50,17,76,4,67,69,19,65,77
77953899,1777022750,2026-04-24 09:25:50 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,52,52,7,2,4,35,63,25,6,80,13,15,1,79
77953847,1777022713,2026-04-24 09:25:13 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,54,54,63,76,14,64,25,11,65,16,12,20,15,7
77953845,1777022711,2026-04-24 09:25:11 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,85,85,80,10,3,18,13,64,65,81,66,35,50,52
77953842,1777022708,2026-04-24 09:25:08 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,72,72,13,14,31,8,77,4,76,79,7,11,25,1
77953841,1777022708,2026-04-24 09:25:08 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,56,56,50,11,6,77,76,1,19,64,15,3,7,67
77953831,1777022700,2026-04-24 09:25:00 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,71,72,19,79,63,11,76,20,18,15,3,2,6,13
77953829,1777022699,2026-04-24 09:24:59 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,71,71,81,19,63,35,11,79,3,18,27,76,67,7
77953824,1777022693,2026-04-24 09:24:53 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,96,96,63,1,12,18,65,80,31,15,64,27,52,58
77953816,1777022689,2026-04-24 09:24:49 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,65,66,50,20,77,79,52,31,11,2,27,19,7,76
77953815,1777022686,2026-04-24 09:24:46 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,44,43,15,81,50,77,19,79,64,6,63,11,31,80
77953811,1777022684,2026-04-24 09:24:44 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,105,105,8,3,77,15,66,31,7,14,72,11,16,58
77953787,1777022666,2026-04-24 09:24:26 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,105,105,19,1,20,69,14,58,16,65,79,8,63,72
77953744,1777022637,2026-04-24 09:23:57 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,86,86,80,15,3,18,76,17,64,79,27,11,35,7
77953743,1777022637,2026-04-24 09:23:57 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,42,42,77,11,31,18,63,58,52,1,6,12,79,7
77953742,1777022636,2026-04-24 09:23:56 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,23,23,2,14,69,80,19,81,10,35,20,4,50,31
77953739,1777022634,2026-04-24 09:23:54 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,86,86,12,80,65,10,20,17,25,13,1,79,72,67
77953733,1777022632,2026-04-24 09:23:52 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,82,82,64,69,77,7,6,31,13,52,19,12,2,63
77953732,1777022632,2026-04-24 09:23:52 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,43,43,65,79,2,25,31,52,4,13,76,20,6,11
77953731,1777022631,2026-04-24 09:23:51 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,56,54,52,60,6,8,15,1,11,72,14,76,80,65
77953730,1777022631,2026-04-24 09:23:51 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,115,115,50,12,6,7,15,64,25,1,27,76,67,60
77953728,1777022631,2026-04-24 09:23:51 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,76,81,20,4,3,64,11,80,58,60,2,25,79,72
77953723,1777022629,2026-04-24 09:23:49 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,73,73,81,31,65,11,15,3,14,19,76,63,12,13
77953710,1777022620,2026-04-24 09:23:40 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,21,21,60,65,27,80,69,64,13,58,76,50,4,72
77953707,1777022618,2026-04-24 09:23:38 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,43,43,63,35,69,31,8,1,7,17,11,4,25,12
77953706,1777022618,2026-04-24 09:23:38 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,14,14,13,64,15,6,31,8,65,20,1,25,69,11
77953699,1777022616,2026-04-24 09:23:36 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,15,15,7,16,8,4,72,79,63,19,80,11,13,67
77953698,1777022616,2026-04-24 09:23:36 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,63,63,64,69,27,6,52,10,25,7,67,19,80,20
77953692,1777022608,2026-04-24 09:23:28 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,51,51,79,2,4,81,6,7,1,65,80,67,20,16
77953683,1777022605,2026-04-24 09:23:25 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,42,42,50,6,16,17,11,14,79,4,1,20,77,8
77953674,1777022600,2026-04-24 09:23:20 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,76,76,81,19,13,11,65,20,6,2,1,77,15,79
77953667,1777022595,2026-04-24 09:23:15 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,64,64,11,80,65,58,15,2,31,7,10,79,72,1
77953644,1777022578,2026-04-24 09:22:58 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 2,1,72,72,1,52,63,69,66,15,12,27,65,81,4,8
77953642,1777022576,2026-04-24 09:22:56 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,85,85,52,76,80,11,58,77,25,66,79,4,60,7
77953641,1777022576,2026-04-24 09:22:56 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,31,31,64,69,6,77,2,13,65,66,60,11,3,76
77953640,1777022575,2026-04-24 09:22:55 UTC,2026-04-10,inferred from start_time (official gameplay update date),Team 1,0,41,41,64,50,63,79,27,72,17,1,14,15,19,60
